-----------------------------------------------------------------------------------------
汉字      全拼      五笔      郑码      UNICODE   GBK       笔画数    部首      笔顺编号
爼        zu        qqeg      OSOL      723C      A095      9         爻        343425111
爽        shuang    dqqq      GDOO      723D      CBAC      11        爻        13434343434
爾        mi        gwmq      AOOO      723E      A096      14        爻        13425234343434
爿        pan       nhde      ZI        723F      E3DD      4         爿        5213
牀        chuang    nhds      ZIF       7240      A097      8         爿        52131234
牁        ke        nhdk      ZIAJ      7241      A098      9         爿        521312512
牂        zang      nhdd      ZIUC      7242      A099      10        爿        5213431112
牃        die       nhds      ZIZF      7243      A09A      13        爿        5213122151234
牄        qiang     nhdk      ZIXJ      7244      A09B      14        爿        52133445113251
牅        yong      nhdh      ZIXL      7245      A09C      15        爿        521341351125112
牆        qiang     ffuk      ZIJJ      7246      A09D      17        爿        52131234341252511
片        pian      thgn      NX        7247      C6AC      4         片        3215
版        ban       thgc      NXPX      7248      B0E6      8         片        32153354
牉        pan       thgf      NXUB      7249      A09E      9         片        321543112
牊        chao      thgk      NXYJ      724A      A09F      9         片        321553251
牋        jian      thga      NXHH      724B      A0A0      12        片        321515341534
牌        pai       thgf      NXNE      724C      C5C6      12        片        321532511312
牍        du        thgd      NXTG      724D      EBB9      12        片        321512544134
牎        chuang    thgn      NXSW      724E      A0A1      13        片        3215353344544
牏        yu        thgj      NXQK      724F      A0A2      13        片        3215341251122
牐        zha       thgv      NXMN      7250      A0A3      13        片        3215312321511
牑        mian      thga      NXWL      7251      A0A4      13        片        3215451325122
牒        die       thgs      NXZF      7252      EBBA      13        片        3215122151234
牓        pan       thgy      NXWS      7253      A0A5      14        片        32154143454153
牔        bo        thgf      NXFD      7254      A0A6      14        片        32151251124124
牕        chuang    thgn      NXRW      7255      A0A7      15        片        321532535414544
牖        you       thgy      NXWF      7256      EBBB      15        片        321545131251124
牗        you       thgh      NXXL      7257      A0A8      15        片        321541351125112
牘        du        thgd      NXLL      7258      A0A9      19        片        3215121252212511134
牙        ya        ahte      HI        7259      D1C0      4         牙        1523
牚        cheng     ipkt      KOJH      725A      A0AA      12        牙        243452511523
牛        niu       rhk       MB        725B      C5A3      4         牛        3112
牜        niu       trk       MBVV      725C      A0AB      4         牜        3121
牝        pin       trxn      MBRR      725D      EAF2      6         牜        312135
牞        le        trln      MBYM      725E      A0AC      6         牜        312153
牟        mou       crhj      ZSMB      725F      C4B2      6         牛        543112
牠        tuo       trbn      MBYI      7260      A0AD      7         牜        3121525
牡        mu        trfg      MBB       7261      C4B5      7         牜        3121121
牢        lao       prhj      WDMB      7262      C0CE      7         牛        4453112
牣        ren       trvy      MBYS      7263      A0AE      7         牜        3121534
牤        mang      tryn      MBSH      7264      A0AF      7         牜        3121415
牥        fang      tryn      MBSY      7265      A0B0      8         牜        31214153
牦        mao       trtn      MBMH      7266      EAF3      8         牜        31213115
牧        mu        trty      MBMO      7267      C4C1      8         牜        31213134
牨        gang      trym      MBSQ      7268      A0B1      8         牜        31214135
物        wu        trqr      MBRO      7269      CEEF      8         牜        31213533
牪        yan       trrh      MBMB      726A      A0B2      8         牜        31213112
牫        zang      trat      MBHM      726B      A0B3      8         牜        31211534
牬        bei       trtt      MBIM      726C      A0B4      8         牜        31213523
牭        si        trlg      MBLK      726D      A0B5      9         牜        312125351
牮        jian      warh      NHMB      726E      EAF0      9         牛        321543112
牯        gu        trdg      MBEJ      726F      EAF4      9         牜        312112251
牰        you       trlg      MBKI      7270      A0B6      9         牜        312125121
牱        ge        trsk      MBAJ      7271      A0B7      9         牜        312112512
牲        sheng     trtg      MBMC      7272      C9FC      9         牜        312131121
牳        mu        trxu      MBZY      7273      A0B8      9         牜        312155414
牴        zhai      trqg      MBRS      7274      A0B9      9         牜        312135154
牵        qian      dprh      GDWM      7275      C7A3      9         牛        134453112
牶        quan      udrh      UBMB      7276      A0BA      10        牛        4311343112
牷        quan      trwg      MBOC      7277      A0BB      10        牜        3121341121
牸        zi        trpb      MBWY      7278      A0BC      10        牜        3121445521
特        te        trff      MBBD      7279      CCD8      10        牜        3121121124
牺        xi        trsg      MBFJ      727A      CEFE      10        牜        3121125351
牻        mang      trde      MBGM      727B      A0BD      11        牜        31211353334
牼        keng      trga      MBHB      727C      A0BE      11        牜        31211555121
牽        qian      yxph      SZWM      727D      A0BF      11        牛        41554453112
牾        wu        trgk      MBXJ      727E      EAF5      11        牜        31211251251
牿        gu        trtk      MBMJ      727F      EAF6      11        牜        31213121251
犀        xi        nirh      XMKM      7280      CFAC      12        牛        513241343112
犁        li        tjrh      MFKM      7281      C0E7      11        牛        31234223112
犂        li        tqth      MFMM      7282      A0C0      12        牛        312343533112
犃        pou       truk      MBSJ      7283      A0C1      12        牜        312141431251
犄        ji        trdk      MBAJ      7284      EAF7      12        牜        312113412512
犅        gang      trmm      MBLD      7285      A0C2      12        牜        312125431252
犆        zhi       trdh      MBEL      7286      A0C3      12        牜        312112251111
犇        ben       rhth      MBMM      7287      A0C4      12        牛        311231213112
犈        quan      trub      MBUY      7288      A0C5      12        牜        312143113455
犉        chun      tryb      MBJY      7289      A0C6      12        牜        312141251521
犊        du        trfd      MBTG      728A      B6BF      12        牜        312112544134
犋        ju        trhw      MBLO      728B      EAF8      12        牜        312125111134
犌        jia       trnc      MBXX      728C      A0C7      13        牜        3121512115154
犍        jian      trvp      MBXB      728D      EAF9      12        牜        312151111254
犎        feng      fffh      BBDM      728E      A0C8      13        牛        1211211243112
犏        pian      trya      MBWL      728F      EAFA      13        牜        3121451325122
犐        ke        trtf      MBTE      7290      A0C9      13        牜        3121312344412
犑        ju        trhd      MBGS      7291      A0CA      13        牜        3121251111344
犒        kao       tryk      MBJL      7292      EAFB      14        牜        31214125125251
犓        chu       trqt      MBRZ      7293      A0CB      14        牜        31213552335523
犔        xi        trro      MBMY      7294      A0CC      14        牜        31213115431234
犕        bei       trae      MBML      7295      A0CD      14        牜        31211221325112
犖        luo       ooph      UOWM      7296      A0CE      14        牛        43344334453112
犗        jie       trpk      MBCJ      7297      A0CF      14        牜        31214451112251
犘        ma        yssh      TGFM      7298      A0D0      15        牛        413123412343112
犙        san       trce      MBOP      7299      A0D1      15        牜        312154545434444
犚        wei       nfih      XMDM      729A      A0D2      15        牛        513112341243112
犛        mao       fidh      BDGM      729B      A0D3      15        牛        112343134133112
犜        dun       tryt      MBYM      729C      A0D4      16        牜        3121312515213134
犝        tong      truf      MBKB      729D      A0D5      16        牜        3121414312511211
犞        qiao      trtk      MBJL      729E      A0D6      16        牜        3121313425125251
犟        jiang     xkjh      YZIM      729F      EAF1      16        牛        5152512512143112
犠        xi        trut      MBMH      72A0      A0D7      17        牜        31214311213121534
犡        li        trdy      MBLZ      72A1      A0D8      18        牜        312113122251125214
犢        du        trfd      MBLL      72A2      A0D9      19        牜        3121121252212511134
犣        lie       trvn      MBOZ      72A3      A0DA      19        牜        3121555253415445445
犤        pai       trlx      MBRR      72A4      A0DB      19        牜        3121252215425113535
犥        piao      tryo      MBTU      72A5      A0DC      19        牜        3121413522115354444
犦        bo        trji      MBOK      72A6      A0DD      19        牜        3121251112213424134
犧        xi        trua      MBZH      72A7      A0DE      20        牜        31214311213123415534
犨        chou      wywh      NINM      72A8      A0DF      20        牛        32411121324111213112
犩        wei       tvth      MFNM      72A9      A0E0      21        牛        312345313251135543112
犪        rao       truc      MBOR      72AA      A0E1      25        牜        3121431325111212151534354
犫        chou      wyyh      NINM      72AB      A0E2      27        牛        324111214111251324111213112
犬        quan      dgty      GDS       72AC      C8AE      4         犬        1344
犭        fan       qte       QMAA      72AD      E1EB      3         犭        353
犮        ba        dqi       GDXS      72AE      A0E3      5         犬        13544
犯        fan       qtbn      QMYY      72AF      B7B8      5         犭        35355
犰        qiu       qtvn      QMQY      72B0      E1EC      5         犭        35335
犱        ji        qtvy      QMQS      72B1      A0E4      6         犭        353354
犲        chai      qtft      QMDM      72B2      A0E5      6         犭        353123
犳        zhuo      qtqy      QMRS      72B3      A0E6      6         犭        353354
犴        an        qtfh      QMAE      72B4      E1ED      6         犭        353112
犵        he        qtrn      QMMY      72B5      A0E7      6         犭        353315
状        zhuang    udy       TIGS      72B6      D7B4      7         犬        4121344
犷        guang     qtyt      QMTG      72B7      E1EE      6         犭        353413
犸        ma        qtcg      QMX       72B8      E1EF      6         犭        353551
犹        you       qtdn      QMGR      72B9      D3CC      7         犭        3531354
犺        kang      qtym      QMSQ      72BA      A0E8      7         犭        3534135
犻        pei       qtgh      QMAL      72BB      A0E9      7         犭        3531252
犼        hou       qtbn      QMYZ      72BC      A0EA      7         犭        3535215
犽        ya        qtat      QMHI      72BD      A0EB      7         犭        3531523
犾        yin       qtdy      QMGS      72BE      A0EC      7         犭        3531344
犿        huan      qtyh      QMSI      72BF      A0ED      7         犭        3534124
狀        zhuang    nhdd      ZIGS      72C0      A0EE      8         犬        52131344
狁        yun       qtcq      QMZR      72C1      E1F1      7         犭        3535435
狂        kuang     qtgg      QMC       72C2      BFF1      7         犭        3531121
狃        niu       qtnf      QMXE      72C3      E1F0      7         犭        3535211
狄        di        qtoy      QMUO      72C4      B5D2      7         犭        3534334
狅        kuang     qttf      QMMB      72C5      A0EF      7         犭        3533121
狆        zhong     qtkh      QMJI      72C6      A0F0      7         犭        3532512
狇        mu        qtsy      QMF       72C7      A0F1      7         犭        3531234
狈        bei       qtmy      QMLO      72C8      B1B7      7         犭        3532534
狉        pi        qtgg      QMGA      72C9      A0F2      8         犭        35313241
狊        ju        dhu       LGS       72CA      A0F3      9         犬        251111344
狋        yi        qtfi      QMBK      72CB      A0F4      8         犭        35311234
狌        xing      qttg      QMMC      72CC      A0F5      8         犭        34331121
狍        pao       qtqn      QMRY      72CD      E1F3      8         犭        35335515
狎        xia       qtlh      QMKI      72CE      E1F2      8         犭        35325112
狏        yi        qttb      QMMY      72CF      A0F6      8         犭        35331525
狐        hu        qtry      QMPS      72D0      BAFC      8         犭        35333544
狑        ling      qtwc      QMOW      72D1      A0F7      8         犭        35334454
狒        fei       qtxj      QMYN      72D2      E1F4      8         犭        35351532
狓        pi        qthc      QMXI      72D3      A0F8      8         犭        35353254
狔        ni        qtnx      QMXR      72D4      A0F9      8         犭        35351335
狕        yao       qtxl      QMZY      72D5      A0FA      8         犭        35355453
狖        you       qtpw      QMWO      72D6      A0FB      8         犭        35344534
狗        gou       qtqk      QMRJ      72D7      B9B7      8         犭        35335251
狘        xue       qtat      QMHZ      72D8      A0FC      8         犭        35315534
狙        ju        qteg      QMLC      72D9      BED1      8         犭        35325111
狚        dan       qtjg      QMKA      72DA      A0FD      8         犭        35325111
狛        bo        qtrg      QMNK      72DB      A0FE      8         犭        35332511
狜        ku        qtdg      QMEJ      72DC      AA40      8         犭        35312251
狝        xian      qtqi      QMRK      72DD      AA41      8         犭        35335234
狞        ning      qtps      QMWA      72DE      C4FC      8         犭        35344512
狟        xuan      qtgg      QMBK      72DF      AA42      9         犭        353125111
狠        hen       qtve      QMXO      72E0      BADD      9         犭        353511534
狡        jiao      qtuq      QMOO      72E1      BDC6      9         犭        353413434
狢        mo        eetk      QMRJ      72E2      AA43      9         犭        353354251
狣        zhao      qtiq      QMVR      72E3      AA44      9         犭        353341534
狤        jie       qtfk      QMBJ      72E4      AA45      9         犭        353121251
狥        xun       qtqj      QMRK      72E5      AA46      9         犭        353352511
狦        shan      qtmj      QMLB      72E6      AA47      9         犭        353251122
狧        ta        qtfk      QMMI      72E7      AA48      9         犭        353312251
狨        rong      qtad      QMHG      72E8      E1F5      9         犭        353113534
狩        shou      qtpf      QMWD      72E9      E1F7      9         犭        353445124
狪        tong      qtmk      QMLD      72EA      AA49      9         犭        353251251
狫        lao       qtfx      QMBR      72EB      AA4A      9         犭        353121335
独        du        qtjy      QMI       72EC      B6C0      9         犭        353251214
狭        xia       qtgw      QMBU      72ED      CFC1      9         犭        353143134
狮        shi       qtjh      QMAL      72EE      CAA8      9         犭        353231252
狯        kuai      qtwc      QMBZ      72EF      E1F6      9         犭        353341154
狰        zheng     qtqh      QMRX      72F0      D5F8      9         犭        353355112
狱        yu        qtyd      QMGS      72F1      D3FC      9         犭        353451344
狲        sun       qtbi      QMYK      72F2      E1F8      9         犭        353521234
狳        yu        qtwt      QMOM      72F3      E1FC      10        犭        3533411234
狴        bi        qtxf      QMRB      72F4      E1F9      10        犭        3531535121
狵        zhuo      qtde      QMGM      72F5      AA4B      10        犭        3531353334
狶        xi        qtqh      QMGL      72F6      AA4C      10        犭        3533413252
狷        juan      qtke      QMJQ      72F7      E1FA      10        犭        3532512511
狸        li        qtjf      QMKB      72F8      C0EA      10        犭        3532511211
狹        xia       qtdw      QMOO      72F9      AA4D      10        犭        3531343434
狺        yin       qtyg      QMS       72FA      E1FE      10        犭        3534111251
狻        suan      qtct      QMOR      72FB      E2A1      10        犭        3535434354
狼        lang      qtye      QMSX      72FC      C0C7      10        犭        3534511534
狽        bei       qtmy      QMLO      72FD      AA4E      10        犭        3532511134
狾        zhi       qtrr      QMDP      72FE      AA4F      10        犭        3531213312
狿        yan       qthp      QMMI      72FF      AA50      9         犭        353321554
猀        sha       qtit      QMKM      7300      AA51      10        犭        3534412343
猁        li        qttj      QMMK      7301      E1FB      10        犭        3533123422
猂        han       qtjf      QMAE      7302      AA52      10        犭        3532511112
猃        xian      qtwi      QMBV      7303      E1FD      10        犭        3533414431
猄        jing      qtyi      QMJK      7304      AA53      11        犭        35341251234
猅        pai       qtdd      QMKC      7305      AA54      11        犭        35321112111
猆        fei       djdd      KCGS      7306      AA55      12        犬        211121111344
猇        xiao      qthm      QMIH      7307      AA56      11        犭        35321531535
猈        pi        qtrf      QMNE      7308      AA57      11        犭        35332511312
猉        qi        qtaw      QMEC      7309      AA58      11        犭        35312211134
猊        ni        qtvq      QMNR      730A      E2A5      11        犭        35332151135
猋        biao      dddu      GDGS      730B      AA59      12        犬        134413441344
猌        yin       swwd      FOGS      730C      AA5A      12        犬        134342341344
猍        lai       qtsw      QMOO      730D      AA5B      11        犭        35313434234
猎        lie       qtaj      QMEK      730E      C1D4      11        犭        35312212511
猏        jian      qtte      QMWQ      730F      AA5C      11        犭        35345132511
猐        qiang     qtun      QMUR      7310      AA5D      10        犭        3534311135
猑        kun       qtjx      QMRR      7311      AA5E      11        犭        35325111535
猒        yan       jedy      KQGS      7312      AA5F      12        犬        251125111344
猓        guo       qtjs      QMKF      7313      E2A3      11        犭        35325111234
猔        zong      qtpi      QMWB      7314      AA60      11        犭        35344511234
猕        mi        qtxi      QMRK      7315      E2A8      11        犭        35351535234
猖        chang     qtjj      QMKK      7316      B2FE      11        犭        35325112511
猗        yi        qtdk      QMAJ      7317      E2A2      11        犭        35313412512
猘        zhi       qtrj      QMLK      7318      AA61      11        犭        35331125222
猙        zheng     qteh      QMPX      7319      AA62      11        犭        35334435112
猚        ya        qtwg      QMNI      731A      AA63      11        犭        35332411121
猛        meng      qtbl      QMYL      731B      C3CD      11        犭        35352125221
猜        cai       qtge      QMCQ      731C      B2C2      11        犭        35311212511
猝        cu        qtyf      QMOE      731D      E2A7      11        犭        35341343412
猞        she       qtwk      QMOM      731E      E2A6      11        犭        35334112251
猟        lie       qtih      QMQB      731F      AA64      11        犭        35344335112
猠        ceon      qtmw      QMEO      7320      AA65      11        犭        35325122134
猡        luo       qtlq      QMLR      7321      E2A4      11        犭        35325221354
猢        hu        qtde      QMJQ      7322      E2A9      12        犭        353122513511
猣        zong      qtqt      QMOR      7323      AA66      12        犭        353345234354
猤        fui       qtwd      QMAG      7324      AA67      12        犭        353543341134
猥        wei       qtle      QMKH      7325      E2AB      12        犭        353251211534
猦        feng      qtmj      QMQI      7326      AA68      12        犭        353353251214
猧        wo        qtmk      QMLJ      7327      AA69      11        犭        35325525251
猨        yuan      qtec      QMGX      7328      AA6A      12        犭        353344311354
猩        xing      qtjg      QMKM      7329      D0C9      12        犭        353251131121
猪        zhu       qtfj      QMBM      732A      D6ED      11        犭        35312132511
猫        mao       qtal      QMEK      732B      C3A8      11        犭        35312225121
猬        wei       qtle      QMKQ      732C      E2AC      12        犭        353251212511
猭        shan      qtqe      QMZG      732D      AA6B      12        犭        353551353334
献        xian      fmud      EDGS      732E      CFD7      13        犬        1225431121344
猯        tuan      qtmj      QMLG      732F      AA6C      12        犭        353252132522
猰        ya        qtdd      QMYG      7330      AA6D      12        犭        353111253134
猱        nao       qtcs      QMMF      7331      E2AE      12        犭        353545231234
猲        xie       qtjn      QMKR      7332      AA6E      12        犭        353251135345
猳        jia       qtnc      QMXX      7333      AA6F      12        犭        353512115154
猴        hou       qtwd      QMXM      7334      BAEF      12        犭        353325131134
猵        pian      qtta      QMWL      7335      AA70      12        犭        353451325122
猶        you       qtdn      QMUF      7336      AA71      12        犭        353431253511
猷        you       usgd      UDGS      7337      E9E0      13        犬        4312535111344
猸        mei       qtnh      QMXL      7338      E2AD      12        犭        353521325111
猹        cha       qtsg      QMKA      7339      E2AA      12        犭        353123425111
猺        yao       qtem      QMEZ      733A      AA72      13        犭        3533443311252
猻        sun       qtbi      QMMZ      733B      AA73      13        犭        3535213554234
猼        po        qtgf      QMFD      733C      AA74      13        犭        3531251124124
猽        ming      qtpu      QMSO      733D      AA75      13        犭        3534525114134
猾        hua       qtme      QMLW      733E      BBAB      12        犭        353255452511
猿        yuan      qtfe      QMJR      733F      D4B3      13        犭        3531212513534
獀        sou       qtvc      QMNX      7340      AA76      12        犭        353321511254
獁        ma        qtcg      QMCU      7341      AA77      13        犭        3531211254444
獂        yuan      qtdi      QMNK      7342      AA78      13        犭        3531332511234
獃        dai       mgkd      LLGS      7343      AA79      14        犬        25212514311344
獄        yu        qtyd      QMGS      7344      AA7A      14        犭        35341112511344
獅        shi       qtjh      QMAL      7345      AA7B      13        犭        3533251511252
獆        hao       qtrf      QMGE      7346      AA7C      13        犭        3533251113412
獇        qiang     qtuc      QMRZ      7347      AA7D      12        犭        353431113554
獈        yi        qtul      QMOL      7348      AA7E      13        犭        3534313425221
獉        zhen      qtdt      QMCM      7349      AA80      13        犭        3531113431234
獊        cang      qtwk      QMXJ      734A      AA81      13        犭        3533445113251
獋        hao       qttf      QMVE      734B      AA82      15        犭        353325111413412
獌        man       qtjc      QMLX      734C      AA83      14        犭        35325112522154
獍        jing      qtuq      QMKR      734D      E2B0      14        犭        35341431251135
獎        jiang     nhdd      ZIGS      734E      AA84      15        犬        521335441241344
獏        mu        qtad      QMKG      734F      AA85      13        犭        3531222511134
獐        zhang     qtuj      QMKE      7350      E2AF      14        犭        35341431251112
獑        chan      qtlr      QMFP      7351      AA86      14        犭        35312511123312
獒        ao        gqtd      CIGS      7352      E9E1      14        犬        11213531341344
獓        ao        qtgt      QMYM      7353      AA87      13        犭        3531121533134
獔        gao       qtrf      QMVE      7354      AA88      14        犭        35332511413412
獕        cui       qtmg      QMLN      7355      AA89      14        犭        35325232411121
獖        fen       qtfm      QMEL      7356      AA8A      15        犭        353121222511134
獗        jue       qtdw      QMZR      7357      E2B1      15        犭        353134315233534
獘        bi        umid      KVGS      7358      AA8B      15        犬        432523431341344
獙        bi        qtut      QMLM      7359      AA8C      14        犭        35343252343134
獚        huang     qtaw      QMKO      735A      AA8D      14        犭        35312212512134
獛        pu        qtow      QMKU      735B      AA8E      15        犭        353224314311134
獜        lin       qtoh      QMRM      735C      AA8F      15        犭        353431234354152
獝        yu        qtck      QMML      735D      AA90      15        犭        353545232534251
獞        zhuang    qtuf      QMKB      735E      AA91      15        犭        353414312511211
獟        yao       qtfq      QMBG      735F      AA92      15        犭        353121121121135
獠        liao      qtdi      QMKK      7360      E2B2      15        犭        353134432511234
獡        xi        qtvo      QMZU      7361      AA93      14        犭        35332151154444
獢        xiao      qttk      QMJL      7362      AA94      15        犭        353313425125251
獣        shou      ilgd      VDGS      7363      AA95      16        犬        4432512112511344
獤        ton       qtyt      QMYM      7364      AA96      15        犭        353412515213134
獥        jiao      qtrt      QMSM      7365      AA97      16        犭        3533251141533134
獦        ge        qtan      QMKR      7366      AA98      15        犭        353122251135345
獧        xuan      qtle      QMJR      7367      AA99      16        犭        3532522112513534
獨        du        qtlj      QMRI      7368      AA9A      16        犭        3532522135251214
獩        hui       qtht      QMAK      7369      AA9B      16        犭        3532121131233534
獪        kuai      qtwc      QMLK      736A      AA9C      16        犭        3533412524312511
獫        xian      qtwi      QMOO      736B      AA9D      16        犭        3533412512513434
獬        xie       qtqh      QMYM      736C      E2B3      16        犭        3533535112533112
獭        ta        qtgm      QMRL      736D      CCA1      16        犭        3531251234352534
獮        xian      qtgq      QMOO      736E      AA9E      17        犭        35313425234343434
獯        xun       qtto      QMBU      736F      E2B4      17        犭        35331254312114444
獰        ning      qtps      QMLA      7370      AA9F      17        犭        35344545442522112
獱        bian      qtpm      QMKL      7371      AAA0      17        犭        35344512332511134
獲        huo       qtac      QMNX      7372      AB40      16        犭        3531223241112154
獳        ru        qtfj      QMFG      7373      AB41      17        犭        35314524444132522
獴        meng      qtae      QMAG      7374      AB42      16        犭        3531224511353334
獵        lie       qtvn      QMOZ      7375      AB43      18        犭        353555253415445445
獶        you       qtdt      QMWR      7376      AB44      18        犭        353132511454544354
獷        jing      qtyt      QMTG      7377      AB45      17        犭        35341312212512134
獸        shou      kkld      JJGS      7378      AB46      19        犬        2512512512112511344
獹        lu        qrhl      QMKL      7379      AB47      19        犭        3532153152512125221
獺        ta        qtgm      QMRL      737A      AB48      19        犭        3531251234352511134
獻        xian      fmud      IHGS      737B      AB49      20        犬        21531512512543121344
獼        mi        qtxi      QMOO      737C      AB4A      20        犭        35351513425234343434
獽        rang      qtye      QMER      737D      AB4B      20        犭        35341251251112213534
獾        huan      qtay      QMJN      737E      E2B5      20        犭        35312225125132411121
獿        nao       qtht      QMOR      737F      AB4C      22        犭        3531325111212151534354
玀        luo       qtlq      QMZN      7380      AB4D      22        犭        3532522155444432411121
玁        xian      qtkt      QMCM      7381      AB4E      22        犭        3532512511351221113134
玂        qi        qtar      QMEP      7382      AB4F      22        犭        3531222512512511123312
玃        jue       qthc      QMNX      7383      AB50      23        犭        35325111251113241112154
玄        xuan      yxu       SZZS      7384      D0FE      5         玄        41554
玅        yao       yxit      SZKM      7385      AB51      9         玄        415542343
玆        zi        yxyx      SZZZ      7386      AB52      10        玄        4155441554
率        lv        yxif      SVZE      7387      C2CA      11        玄        41554413412
玈        lu        yxte      SZMR      7388      AB53      11        玄        41554313534
玉        yu        gyi       CS        7389      D3F1      5         玉        11214
玊        su        gyi       CSVV      738A      AB54      5         玉        11214
王        wang      gggg      CA        738B      CDF5      4         玉        1121
玌        qiu       gnb       CZVV      738C      AB55      5         玉        11215
玍        ga        tgd       MAB       738D      AB56      5         玉        31121
玎        ding      gsh       CAI       738E      E7E0      6         玉        112112
玏        le        gln       CYM       738F      AB57      6         玉        112153
玐        ba        gwy       COVV      7390      AB58      6         玉        112134
玑        ji        gmn       CQD       7391      E7E1      6         玉        112135
玒        hong      gag       CBI       7392      AB59      7         玉        1121121
玓        di        gqyy      CRS       7393      AB5A      7         玉        1121354
玔        chuan     gkh       CND       7394      AB5B      7         玉        1121322
玕        gan       gfh       CAED      7395      AB5C      7         玉        1121112
玖        jiu       gqyy      CRS       7396      BEC1      7         玉        1121354
玗        yu        ggfh      CAD       7397      AB5D      7         玉        1121112
玘        qi        gnn       CYY       7398      AB5E      7         玉        1121515
玙        yu        ggng      CAZA      7399      AB5F      7         玉        1121151
玚        chang     gnrt      CYOD      739A      AB60      7         玉        1121533
玛        ma        gcg       CXVV      739B      C2EA      7         玉        1121551
玜        hong      gwcy      COZS      739C      AB61      8         玉        11213454
玝        wu        gtfh      CMED      739D      AB62      8         玉        11213112
玞        fu        gfwy      CBOD      739E      AB63      8         玉        11211134
玟        min       gyy       CSO       739F      E7E4      8         玉        11214134
玠        jie       gwjh      COND      73A0      AB64      8         玉        11213432
玡        ya        gaht      CHI       73A1      AB65      8         玉        11211523
玢        bin       gwvn      COYD      73A2      E7E3      8         玉        11213453
玣        men       gyhy      CSID      73A3      AB66      8         玉        11214124
玤        bang      gtfh      CCI       73A4      AB67      8         玉        11211112
玥        yue       geg       CQVV      73A5      AB68      8         玉        11213511
玦        jue       gnwy      CXGD      73A6      AB69      8         玉        11215134
玧        yun       gcqn      CZRD      73A7      AB6A      8         玉        11215435
玨        jue       ggg       CCVV      73A8      AB6B      8         玉        11211121
玩        wan       gfqn      CBRD      73A9      CDE6      8         玉        11211135
玪        yin       gwyn      COSX      73AA      AB6C      8         玉        11213445
玫        mei       gty       CMO       73AB      C3B5      8         玉        11213134
玬        dan       gmyg      CQS       73AC      AB6D      8         玉        11213541
玭        pin       gxxn      CRRR      73AD      AB6E      8         玉        11211535
玮        wei       gfnh      CBY       73AE      E7E2      8         玉        11211152
环        huan      ggiy      CGI       73AF      BBB7      8         玉        11211324
现        xian      gmqn      C/CLR     73B0      CFD6      8         玉        11212535
玱        qiang     gwbn      COYY      73B1      AB6F      8         玉        11213455
玲        ling      gwyc      COW       73B2      C1E1      9         玉        112134454
玳        dai       gway      CNHS      73B3      E7E9      9         玉        112132154
玴        yi        gann      CEZ       73B4      AB70      9         玉        112112215
玵        gan       gafg      CEB       73B5      AB71      9         玉        112112211
玶        ping      gguh      CAUA      73B6      AB72      9         玉        112114312
玷        dian      ghkg      CIJ       73B7      E7E8      9         玉        112121251
玸        fu        gqnn      CRY       73B8      AB73      9         玉        112135515
玹        xuan      gfxy      CSZZ      73B9      AB74      9         玉        112141554
玺        xi        qigy      RKCS      73BA      E7F4      10        玉        3523411214
玻        bo        ghcy      CXI       73BB      B2A3      9         玉        112153254
玼        cou       ghxn      CIRR      73BC      AB75      10        玉        1121212135
玽        gou       gqkg      CRJ       73BD      AB76      9         玉        112135251
玾        jia       glh       CKIB      73BE      AB77      9         玉        112125112
玿        shao      gvkg      CYJ       73BF      AB78      9         玉        112153251
珀        po        grg       CNK       73C0      E7EA      9         玉        112132511
珁        ci        ggnn      CAYS      73C1      AB79      8         玉        11211554
珂        ke        gskg      CAJ       73C2      E7E6      9         玉        112112512
珃        ran       gmfg      CLB       73C3      AB7A      9         玉        112125211
珄        sheng     gtgg      CMC       73C4      AB7B      9         玉        112131121
珅        shen      gjhh      CKIC      73C5      AB7C      9         玉        112125112
珆        yi        gckg      CZJ       73C6      AB7D      9         玉        112154251
珇        zu        gegg      CLC       73C7      AB7E      9         玉        112125111
珈        jia       glkg      CYJ       73C8      E7EC      9         玉        112153251
珉        min       gnan      CYHD      73C9      E7EB      9         玉        112151515
珊        shan      gmmg      CQQA      73CA      C9BA      9         玉        112135351
珋        liu       gqtb      CRMY      73CB      AB80      9         玉        112135352
珌        bi        gntt      CWM       73CC      AB81      9         玉        112145434
珍        zhen      gwet      COPD      73CD      D5E4      9         玉        112134333
珎        zhen      gqiu      CRKO      73CE      AB82      9         玉        112135234
珏        jue       ggyy      CCS       73CF      E7E5      9         玉        112111214
珐        fa        gfcy      CBZS      73D0      B7A9      9         玉        112112154
珑        long      gdxn      CGM       73D1      E7E7      9         玉        112113534
珒        jin       gvfh      CXBD      73D2      AB83      10        玉        1121511112
珓        jiao      guqy      CSOO      73D3      AB84      10        玉        1121413434
珔        jian      gdhb      CGIY      73D4      AB85      10        玉        1121132521
珕        li        glll      CYYY      73D5      AB86      10        玉        1121535353
珖        guang     giqn      CKGR      73D6      AB87      10        玉        1121243135
珗        xian      gtfq      CMRD      73D7      AB88      10        玉        1121312135
珘        zhou      gtey      CPY       73D8      AB89      10        玉        1121335414
珙        gong      gawy      CEO       73D9      E7EE      10        玉        1121122134
珚        yan       gldy      CJD       73DA      AB8A      10        玉        1121251341
珛        xiu       gdeg      CGQ       73DB      AB8B      10        玉        1121132511
珜        yang      gudh      CUC       73DC      AB8C      10        玉        1121431112
